time,open,high,low,close,Volume
2024-12-27,1347515799345,1394239901278,1328763892025,1345650715474,175472422900.0298
2024-12-28,1345297165156,1389575971118,1334501816301,1376419526591,143855371376.48096
2024-12-29,1376208788282,1385490832029,1328717927556,1340267664712,109030678148.78012
2024-12-30,1340317121746,1376513661980,1310745729949,1338819314702,148774383747.70856
2024-12-31,1341668428599,1378274424624,1316573739320,1334898789553,195542201751.55527
2025-01-01,1335571005499,1386870240526,1323768984292,1376361500859,137483003294.34485
2025-01-02,1371501462525,1432542828374,1364419919112,1407673101411,171839961953.49954
2025-01-03,1408469689768,1482171874346,1395132737449,1469273354329,164439001772.9395
2025-01-04,1470124228716,1497121561195,1448442953485,1476137318309,174074276461.5083
2025-01-05,1476332301546,1489234538544,1444155448851,1468136473141,124113614339.88864
2025-01-06,1468187490126,1514197833035,1450978150622,1485747920902,139690797595.26038
2025-01-07,1486306620115,1502300459652,1378064482692,1385715150474,187499821543.79755
2025-01-08,1385467452117,1406915268467,1314596446988,1369384653772,267519642424.75336
2025-01-09,1370923032349,1384093893603,1302541259573,1325557346219,223596971066.11542
2025-01-10,1324307979667,1373696910945,1315640138524,1350967450914,203191008334.8598
2025-01-11,1351884506234,1390906081740,1332799265706,1372543490443,171122998102.61255
2025-01-12,1372628997338,1382776229855,1341492440582,1356588627135,101188295358.5701
2025-01-13,1355484847039,1382071244157,1250009280235,1327425549285,166828477706.6599
2025-01-14,1327190110484,1379034324774,1319948404720,1365050951364,217943417205.4785
2025-01-15,1365127927953,1475028644610,1347439532445,1464958984919,173885605704.80392
2025-01-16,1465549880068,1503085208155,1405609397904,1452448448027,245562354320.91486
2025-01-17,1455018872221,1534617173612,1448629107614,1511606997304,244430037161.7627
2025-01-18,1513675790447,1555938428673,1426378551677,1489660212478,277213478639.4442
2025-01-19,1492344738876,1544936820571,1376691295159,1413992298994,326462153653.12067
2025-01-20,1414940359580,1524713478168,1374850460027,1431596376342,530177643205.90845
2025-01-21,1438346853682,1499365518553,1396938892484,1468518065309,505108265298.45184
2025-01-22,1471656813937,1507961810872,1438593509320,1455425873670,241801842258.52173
2025-01-23,1454837128283,1477952050405,1408526806524,1455322512771,203995935425.03226
2025-01-24,1456222725797,1498386217871,1426087586642,1446152682968,278285992180.0458
2025-01-25,1446937614425,1472176935103,1427556909925,1453187570174,157555837421.9201
2025-01-26,1453228571451,1477378317692,1409528464153,1413810759174,115827545936.36081
2025-01-27,1413845134688,1426275024962,1313690291880,1401476217516,234101937908.9455
2025-01-28,1401492297546,1431036800200,1347960826098,1362380741774,295740036844.06024
2025-01-29,1363163017748,1412066702622,1346482282974,1378902638705,156702887605.75516
2025-01-30,1378992893959,1447077036160,1371152091408,1425402680887,185171399113.322
2025-01-31,1426454054900,1471655840891,1398157649348,1422725436052,149373354297.7912
2025-02-01,1423640927311,1438864919209,1338669703361,1347461177767,169399943056.67374
2025-02-02,1348787443925,1373025732652,1203043723418,1249985540530,173868057672.25412
2025-02-03,1250238679011,1299758850883,1002700890008,1280885857816,521546009268.00665
2025-02-04,1282734805352,1298114591118,1185164055346,1221008014423,344589333591.3798
